Sample__ID,Landcover,Hill__side,Scientific__name,Common_name_species,DBH (cm),Height (m),Native,Lat_ID,Long_ID
R1SB,Remnant,S,Sindora Supa,Supa,14.2,NA,N,11.598539,124.538384
R1SB,Remnant,S,Diospyros blancoi,Kamagong,11.2,NA,N,11.598539,124.538384
R1SB,Remnant,S,Shorea contorta,Lauan,13.9,NA,N,11.598539,124.538384
R1SB,Remnant,S,Cinnamomum mercadoi,Kalingan,9.8,NA,N,11.598539,124.538384
R1SB,Remnant,S,Cinnamomum mercadoi,Kalingan,14.2,NA,N,11.598539,124.538384
R1SB,Remnant,S,Ficus variegata,Tangisang bayawak,6.2,NA,E,11.598539,124.538384
R1SB,Remnant,S,Vitex quinate,Kulipapa,6.9,NA,N,11.598539,124.538384
R1SB,Remnant,S,Vitex quinate,Kulipapa,7.7,NA,N,11.598539,124.538384
R1SB,Remnant,S,Ficus pseudopalma,Lubi lubi palm,11.3,NA,N,11.598539,124.538384
R1SB,Remnant,S,Pipturus arborescens,Dalunot,9.1,NA,N,11.598539,124.538384
R1SB,Remnant,S,Sindora Supa,Supa,5.8,NA,N,11.598539,124.538384
R1SB,Remnant,S,Vitex quinate,Kulipapa,9.9,NA,N,11.598539,124.538384
R1SB,Remnant,S,Ficus pseudopalma,Lubi lubi palm,10.2,NA,N,11.598539,124.538384
R1SB,Remnant,S,Lithocarpus celebicus,Ulaian,14.1,NA,N,11.598539,124.538384
R1SB,Remnant,S,Ficus pseudopalma,Lubi lubi palm,13,NA,N,11.598539,124.538384
R1SB,Remnant,S,Lithocarpus celebicus,Ulaian,29,17.4,N,11.598539,124.538384
R1SB,Remnant,S,Ficus pseudopalma,Lubi lubi palm,6.5,NA,N,11.598539,124.538384
R1SB,Remnant,S,Ficus pseudopalma,Lubi lubi palm,10.12,NA,N,11.598539,124.538384
R1SB,Remnant,S,Ficus pseudopalma,Lubi lubi palm,12.8,NA,N,11.598539,124.538384
R1SB,Remnant,S,Ficus pseudopalma,Lubi lubi palm,18.1,NA,N,11.598539,124.538384
R1SB,Remnant,S,Ficus pseudopalma,Lubi lubi palm,10.8,NA,N,11.598539,124.538384
R1SB,Remnant,S,Calophyllum blancoi,Bitang hol,7,NA,N,11.598539,124.538384
R1SB,Remnant,S,Ficus pseudopalma,Lubi lubi palm,6.3,NA,N,11.598539,124.538384
R1SB,Remnant,S,Lithocarpus celebicus,Ulaian,15.6,NA,N,11.598539,124.538384
