Sample__ID,Landcover,Hill_side,Scientific__name,Common_name_species,Native,Lat_ID,Long_ID
R2NB,Remnant,N,Leucyosyke capitellata,Anagasi,N,11.598478,124.539405
R2NB,Remnant,N,Pipturus arborescens,Dalunot,N,11.598478,124.539405
R2NB,Remnant,N,Dendrocnide meyeniana,Lipang kalaban,N,11.598478,124.539405
R2NB,Remnant,N,Pipturus arborescens,Dalunot,N,11.598478,124.539405
R2NB,Remnant,N,Dendrocnide meyeniana,Lipang kalaban,N,11.598478,124.539405
R2NB,Remnant,N,Pipturus arborescens,Dalunot,N,11.598478,124.539405
R2NB,Remnant,N,Pipturus arborescens,Dalunot,N,11.598478,124.539405
R2NB,Remnant,N,Pipturus arborescens,Dalunot,N,11.598478,124.539405
R2NB,Remnant,N,Dendrocnide meyeniana,Lipang kalaban,N,11.598478,124.539405
R2NB,Remnant,N,Dendrocnide meyeniana,Lipang kalaban,N,11.598478,124.539405
